Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
248,Mateusz Klich,pl POL,MF,Leeds United,30,1990,35,28,"2,393",26.6,4,5,2,2,2,6,0,0.15,0.19,0.34,0.08,0.26,3.3,1.8,3.9,5.7,0.13,0.15,0.27,0.07,0.22,Matches
249,Robin Koch,de GER,"DF,MF",Leeds United,24,1996,17,13,"1,132",12.6,0,0,0,0,0,1,0,0,0,0,0,0,0.8,0.8,0.2,1,0.06,0.01,0.08,0.06,0.08,Matches
250,Sead Kola_inac,ba BIH,DF,Arsenal,27,1993,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
251,Terence Kongolo,nl NED,DF,Fulham,26,1994,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0,0.03,Matches
252,Ezri Konsa,eng ENG,DF,Aston Villa,22,1997,36,35,"3,196",35.5,2,0,2,0,0,3,0,0.06,0,0.06,0.06,0.06,2.1,2.1,0.2,2.3,0.06,0.01,0.07,0.06,0.07,Matches
253,Cheikhou Kouyaté,sn SEN,DF,Crystal Palace,30,1989,36,35,"3,121",34.7,1,0,1,0,0,4,0,0.03,0,0.03,0.03,0.03,0.8,0.8,0.2,1,0.02,0.01,0.03,0.02,0.03,Matches
254,Mateo Kova_i_,hr CRO,MF,Chelsea,26,1994,27,21,"1,815",20.2,0,1,0,0,0,4,0,0,0.05,0.05,0,0.05,1,1,1.8,2.9,0.05,0.09,0.14,0.05,0.14,Matches
255,Emil Krafth,se SWE,DF,Newcastle Utd,25,1994,16,14,"1,288",14.3,1,0,1,0,0,4,0,0.07,0,0.07,0.07,0.07,0.2,0.2,0.4,0.5,0.01,0.03,0.04,0.01,0.04,Matches
256,Filip Krovinovi_,hr CRO,MF,West Brom,24,1995,11,5,546,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.5,0.04,0.05,0.09,0.04,0.09,Matches
257,Alexandre Lacazette,fr FRA,FW,Arsenal,29,1991,31,22,"1,923",21.4,13,2,10,3,3,3,0,0.61,0.09,0.7,0.47,0.56,9.7,7.4,2.7,10.1,0.46,0.13,0.58,0.35,0.47,Matches
258,Adam Lallana,eng ENG,"MF,FW",Brighton,32,1988,30,16,"1,596",17.7,1,1,1,0,0,0,0,0.06,0.06,0.11,0.06,0.11,2.4,2.4,2.8,5.3,0.14,0.16,0.3,0.14,0.3,Matches
259,Érik Lamela,ar ARG,"FW,MF",Tottenham,28,1992,23,5,717,8,1,0,1,0,0,6,1,0.13,0,0.13,0.13,0.13,1.4,1.4,0.9,2.4,0.18,0.12,0.3,0.18,0.3,Matches
260,Tariq Lamptey,eng ENG,DF,Brighton,19,2000,11,11,886,9.8,1,1,1,0,0,4,1,0.1,0.1,0.2,0.1,0.2,0.6,0.6,1.1,1.7,0.06,0.11,0.17,0.06,0.17,Matches
261,Manuel Lanzini,ar ARG,"MF,FW",West Ham,27,1993,17,5,566,6.3,1,1,1,0,0,1,0,0.16,0.16,0.32,0.16,0.32,1.2,1.2,0.9,2,0.18,0.14,0.32,0.18,0.32,Matches
262,Aymeric Laporte,es ESP,DF,Manchester City,26,1994,16,14,"1,344",14.9,0,0,0,0,0,1,0,0,0,0,0,0,0.8,0.8,0.7,1.5,0.05,0.05,0.1,0.05,0.1,Matches
263,Jamaal Lascelles,eng ENG,DF,Newcastle Utd,26,1993,19,19,"1,625",18.1,2,0,2,0,0,4,0,0.11,0,0.11,0.11,0.11,1,1,0,1,0.05,0,0.06,0.05,0.06,Matches
264,Maxime Le Marchand,fr FRA,DF,Fulham,30,1989,2,1,123,1.4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Matches
265,Mario Lemina,ga GAB,MF,Fulham,26,1993,28,19,"1,703",18.9,1,0,1,0,0,5,0,0.05,0,0.05,0.05,0.05,0.9,0.9,0.8,1.8,0.05,0.04,0.09,0.05,0.09,Matches
266,Bernd Leno,de GER,GK,Arsenal,28,1992,35,35,"3,131",34.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
267,Khanya Leshabela,za RSA,MF,Leicester City,20,1999,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
268,Jamal Lewis,nir NIR,DF,Newcastle Utd,22,1998,24,20,"1,837",20.4,0,1,0,0,0,4,0,0,0.05,0.05,0,0.05,0.2,0.2,1.6,1.8,0.01,0.08,0.09,0.01,0.09,Matches
269,Victor Lindelöf,se SWE,DF,Manchester Utd,26,1994,29,29,"2,585",28.7,1,1,1,0,0,0,0,0.03,0.03,0.07,0.03,0.07,0.7,0.7,0.7,1.3,0.02,0.02,0.05,0.02,0.05,Matches
270,Jesse Lingard,eng ENG,"MF,FW",West Ham,27,1992,16,16,"1,421",15.8,9,4,8,1,2,3,0,0.57,0.25,0.82,0.51,0.76,5.1,3.4,1.5,4.9,0.32,0.09,0.42,0.22,0.31,Matches
271,Jake Livermore,eng ENG,MF,West Brom,30,1989,18,15,"1,242",13.8,0,0,0,0,0,2,1,0,0,0,0,0,0.2,0.2,0.2,0.5,0.02,0.02,0.03,0.02,0.03,Matches
272,Diego Llorente,es ESP,DF,Leeds United,26,1993,15,14,"1,204",13.4,1,0,1,0,0,1,0,0.07,0,0.07,0.07,0.07,0.7,0.7,0.6,1.4,0.06,0.05,0.1,0.06,0.1,Matches
273,Hugo Lloris,fr FRA,GK,Tottenham,33,1986,38,38,"3,420",38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
274,Giovani Lo Celso,ar ARG,MF,Tottenham,24,1996,18,11,945,10.5,1,1,1,0,0,5,0,0.1,0.1,0.19,0.1,0.19,1.2,1.2,1.3,2.4,0.11,0.12,0.23,0.11,0.23,Matches
275,Ruben Loftus-Cheek,eng ENG,"MF,FW",Fulham,24,1996,30,21,"1,909",21.2,1,0,1,0,0,3,0,0.05,0,0.05,0.05,0.05,3.1,3.1,1.4,4.5,0.15,0.07,0.21,0.15,0.21,Matches
276,Ruben Loftus-Cheek,eng ENG,FW,Chelsea,24,1996,1,1,60,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
277,Kevin Long,ie IRL,DF,Burnley,29,1990,8,7,637,7.1,0,0,0,0,0,2,0,0,0,0,0,0,0.3,0.3,0,0.3,0.04,0,0.04,0.04,0.04,Matches
278,Shane Long,ie IRL,"FW,MF",Southampton,33,1987,11,1,210,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches
279,Matthew Longstaff,eng ENG,MF,Newcastle Utd,20,2000,5,4,377,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.02,0.02,0,0.02,Matches
280,Sean Longstaff,eng ENG,MF,Newcastle Utd,22,1997,22,15,"1,412",15.7,0,1,0,0,0,2,0,0,0.06,0.06,0,0.06,1.4,1.4,1.1,2.5,0.09,0.07,0.16,0.09,0.16,Matches
281,Ademola Lookman,eng ENG,"FW,MF",Fulham,22,1997,34,31,"2,747",30.5,4,4,4,0,1,5,0,0.13,0.13,0.26,0.13,0.26,5.5,4.8,5.2,10,0.18,0.17,0.35,0.16,0.33,Matches
282,Max Lowe,eng ENG,DF,Sheffield Utd,23,1997,8,7,550,6.1,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.01,0.03,0.04,0.01,0.04,Matches
283,Matthew Lowton,eng ENG,DF,Burnley,31,1989,34,34,"3,060",34,1,1,1,0,0,5,0,0.03,0.03,0.06,0.03,0.06,0.7,0.7,2.3,3,0.02,0.07,0.09,0.02,0.09,Matches
284,David Luiz,br BRA,DF,Arsenal,33,1987,20,17,"1,396",15.5,1,0,1,0,0,1,1,0.06,0,0.06,0.06,0.06,0.9,0.9,0.4,1.3,0.06,0.03,0.09,0.06,0.09,Matches
285,Douglas Luiz,br BRA,MF,Aston Villa,22,1998,33,32,"2,781",30.9,0,2,0,0,0,10,1,0,0.06,0.06,0,0.06,1.5,1.5,1.5,3,0.05,0.05,0.1,0.05,0.1,Matches
286,John Lundstram,eng ENG,MF,Sheffield Utd,26,1994,28,23,"2,032",22.6,0,2,0,0,1,8,1,0,0.09,0.09,0,0.09,2,1.3,1.2,2.5,0.09,0.05,0.14,0.06,0.11,Matches
287,Alexis Mac Allister,ar ARG,"MF,FW",Brighton,21,1998,21,13,"1,115",12.4,1,1,1,0,0,1,0,0.08,0.08,0.16,0.08,0.16,1.1,1.1,2.4,3.5,0.09,0.19,0.28,0.09,0.28,Matches
288,James Maddison,eng ENG,"MF,FW",Leicester City,23,1996,31,24,"2,099",23.3,8,5,8,0,0,4,0,0.34,0.21,0.56,0.34,0.56,4.4,4.4,5.3,9.7,0.19,0.23,0.42,0.19,0.42,Matches
289,Harry Maguire,eng ENG,DF,Manchester Utd,27,1993,34,34,"3,047",33.9,2,1,2,0,0,11,0,0.06,0.03,0.09,0.06,0.09,2.1,2.1,0.3,2.4,0.06,0.01,0.07,0.06,0.07,Matches
290,Riyad Mahrez,dz ALG,FW,Manchester City,29,1991,27,23,"1,949",21.7,9,6,9,0,0,0,0,0.42,0.28,0.69,0.42,0.69,5.6,5.6,5.9,11.5,0.26,0.27,0.53,0.26,0.53,Matches
291,Ainsley Maitland-Niles,eng ENG,MF,West Brom,22,1997,15,14,"1,230",13.7,0,0,0,0,0,2,0,0,0,0,0,0,0.7,0.7,0.7,1.4,0.05,0.05,0.1,0.05,0.1,Matches
292,Ainsley Maitland-Niles,eng ENG,DF,Arsenal,22,1997,11,5,490,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.02,0.04,0.06,0.02,0.06,Matches
293,Josh Maja,ng NGA,"FW,MF",Fulham,21,1998,15,9,810,9,3,0,2,1,1,0,0,0.33,0,0.33,0.22,0.22,4.8,4,1.1,5.1,0.53,0.12,0.65,0.45,0.57,Matches
294,Sadio Mané,sn SEN,FW,Liverpool,28,1992,35,31,"2,810",31.2,11,7,11,0,0,3,0,0.35,0.22,0.58,0.35,0.58,15.2,15.2,5.7,20.9,0.49,0.18,0.67,0.49,0.67,Matches
295,Javier Manquillo,es ESP,DF,Newcastle Utd,26,1994,13,10,825,9.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.2,0.3,0,0.03,0.03,0,0.03,Matches
296,Fernando Marçal,br BRA,DF,Wolves,31,1989,13,7,623,6.9,0,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0.2,0.2,0.01,0.02,0.03,0.01,0.03,Matches
297,Solly March,eng ENG,DF,Brighton,26,1994,21,19,"1,672",18.6,2,1,2,0,0,0,0,0.11,0.05,0.16,0.11,0.16,1.7,1.7,1.7,3.4,0.09,0.09,0.18,0.09,0.18,Matches
298,Pablo Marí,es ESP,DF,Arsenal,26,1993,10,10,900,10,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
299,Anthony Martial,fr FRA,FW,Manchester Utd,24,1995,22,17,"1,480",16.4,4,3,4,0,0,0,1,0.24,0.18,0.43,0.24,0.43,6.5,6.5,2,8.5,0.4,0.12,0.51,0.4,0.51,Matches
300,Martinelli,br BRA,FW,Arsenal,19,2001,14,7,589,6.5,2,1,2,0,0,0,0,0.31,0.15,0.46,0.31,0.46,3.4,3.4,2.1,5.5,0.53,0.32,0.85,0.53,0.85,Matches
301,Emiliano Martínez,ar ARG,GK,Aston Villa,27,1992,38,38,"3,420",38,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.2,0.2,0,0.01,0.01,0,0.01,Matches
302,Arthur Masuaku,cd COD,"DF,FW",West Ham,26,1993,12,12,"1,006",11.2,0,2,0,0,0,2,0,0,0.18,0.18,0,0.18,0.3,0.3,1.9,2.2,0.03,0.17,0.19,0.03,0.19,Matches
303,Juan Mata,es ESP,"FW,MF",Manchester Utd,32,1988,9,6,509,5.7,1,2,0,1,1,0,0,0.18,0.35,0.53,0,0.35,1.1,0.3,0.8,1.2,0.19,0.15,0.34,0.06,0.21,Matches
304,Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,23,1997,7,2,221,2.5,1,0,1,0,0,0,0,0.41,0,0.41,0.41,0.41,0.2,0.2,0,0.2,0.08,0.01,0.09,0.08,0.09,Matches
305,Nemanja Mati_,rs SRB,MF,Manchester Utd,31,1988,20,12,"1,106",12.3,0,0,0,0,0,2,0,0,0,0,0,0,0.3,0.3,0.4,0.7,0.02,0.03,0.06,0.02,0.06,Matches
306,Joël Matip,cm CMR,DF,Liverpool,28,1991,10,9,691,7.7,1,2,1,0,0,2,0,0.13,0.26,0.39,0.13,0.39,0.6,0.6,1,1.7,0.08,0.14,0.22,0.08,0.22,Matches
307,Neal Maupay,fr FRA,"FW,MF",Brighton,23,1996,33,29,"2,512",27.9,8,2,5,3,4,1,1,0.29,0.07,0.36,0.18,0.25,13,9.9,3.6,13.5,0.46,0.13,0.59,0.36,0.48,Matches
308,James McArthur,sco SCO,MF,Crystal Palace,32,1987,18,17,"1,466",16.3,0,2,0,0,0,3,0,0,0.12,0.12,0,0.12,0.2,0.2,0.9,1.1,0.01,0.05,0.07,0.01,0.07,Matches
309,Oliver McBurnie,sco SCO,FW,Sheffield Utd,24,1996,23,12,"1,324",14.7,1,0,1,0,0,2,0,0.07,0,0.07,0.07,0.07,3.1,3.1,1.1,4.1,0.21,0.07,0.28,0.21,0.28,Matches
310,Alex McCarthy,eng ENG,GK,Southampton,30,1989,30,30,"2,700",30,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
311,James McCarthy,ie IRL,MF,Crystal Palace,29,1990,16,10,821,9.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.3,0.3,0,0.03,0.03,0,0.03,Matches
312,John McGinn,sco SCO,MF,Aston Villa,25,1994,37,37,"3,330",37,3,5,3,0,0,12,0,0.08,0.14,0.22,0.08,0.22,2.2,2.2,3,5.3,0.06,0.08,0.14,0.06,0.14,Matches
313,David McGoldrick,ie IRL,"FW,MF",Sheffield Utd,32,1987,35,28,"2,397",26.6,8,1,8,0,0,7,0,0.3,0.04,0.34,0.3,0.34,6.9,6.9,1.3,8.2,0.26,0.05,0.31,0.26,0.31,Matches
314,Dwight McNeil,eng ENG,MF,Burnley,20,1999,36,34,"3,069",34.1,2,5,2,0,0,1,0,0.06,0.15,0.21,0.06,0.21,1.1,1.1,6.5,7.6,0.03,0.19,0.22,0.03,0.22,Matches
315,Scott McTominay,sco SCO,MF,Manchester Utd,23,1996,32,24,"2,129",23.7,4,1,4,0,0,3,0,0.17,0.04,0.21,0.17,0.21,2.1,2.1,0.9,3.1,0.09,0.04,0.13,0.09,0.13,Matches
316,Ben Mee,eng ENG,DF,Burnley,30,1989,30,30,"2,693",29.9,2,0,2,0,0,3,0,0.07,0,0.07,0.07,0.07,1.6,1.6,0.3,2,0.06,0.01,0.07,0.06,0.07,Matches
317,Hannibal Mejbri,tn TUN,MF,Manchester Utd,17,2003,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
318,Benjamin Mendy,fr FRA,DF,Manchester City,26,1994,13,11,953,10.6,2,1,2,0,0,2,0,0.19,0.09,0.28,0.19,0.28,0.4,0.4,0.4,0.9,0.04,0.04,0.08,0.04,0.08,Matches
319,Edouard Mendy,sn SEN,GK,Chelsea,28,1992,31,31,"2,745",30.5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
320,Nampalys Mendy,sn SEN,MF,Leicester City,28,1992,23,15,"1,459",16.2,0,1,0,0,0,5,0,0,0.06,0.06,0,0.06,0.1,0.1,0.4,0.4,0.01,0.02,0.03,0.01,0.03,Matches
321,Illan Meslier,fr FRA,GK,Leeds United,20,2000,35,35,"3,150",35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,Matches
322,Luka Milivojevi_,rs SRB,MF,Crystal Palace,29,1991,31,27,"2,359",26.2,1,1,0,1,2,8,1,0.04,0.04,0.08,0,0.04,2.3,0.8,1.3,2.1,0.09,0.05,0.14,0.03,0.08,Matches
323,James Milner,eng ENG,"MF,DF",Liverpool,34,1986,26,11,"1,070",11.9,0,1,0,0,0,3,0,0,0.08,0.08,0,0.08,0.4,0.4,1.2,1.7,0.04,0.1,0.14,0.04,0.14,Matches
324,Yerry Mina,co COL,DF,Everton,25,1994,24,23,"1,937",21.5,2,0,2,0,0,2,0,0.09,0,0.09,0.09,0.09,1.3,1.3,0,1.3,0.06,0,0.06,0.06,0.06,Matches
325,Takumi Minamino,jp JPN,"MF,FW",Liverpool,25,1995,9,2,293,3.3,1,0,1,0,0,0,0,0.31,0,0.31,0.31,0.31,0.7,0.7,0,0.7,0.2,0,0.2,0.2,0.2,Matches
326,Takumi Minamino,jp JPN,"MF,FW",Southampton,25,1995,10,9,711,7.9,2,0,2,0,0,1,0,0.25,0,0.25,0.25,0.25,1.2,1.2,0.5,1.7,0.15,0.07,0.22,0.15,0.22,Matches
327,Tyrone Mings,eng ENG,DF,Aston Villa,27,1993,36,36,"3,194",35.5,2,2,2,0,0,6,1,0.06,0.06,0.11,0.06,0.11,1.9,1.9,0.6,2.5,0.05,0.02,0.07,0.05,0.07,Matches
328,Tyrick Mitchell,eng ENG,DF,Crystal Palace,20,1999,19,19,"1,710",19,1,1,1,0,0,1,0,0.05,0.05,0.11,0.05,0.11,0.4,0.4,0.4,0.8,0.02,0.02,0.04,0.02,0.04,Matches
329,Aleksandar Mitrovi_,rs SRB,FW,Fulham,25,1994,27,13,"1,402",15.6,3,3,2,1,2,3,0,0.19,0.19,0.39,0.13,0.32,6.5,5,2.6,7.6,0.42,0.17,0.59,0.32,0.49,Matches
330,Jakub Moder,pl POL,"DF,MF",Brighton,21,1999,12,7,647,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.9,0.2,1,0.12,0.02,0.14,0.12,0.14,Matches
331,Jayson Molumby,ie IRL,MF,Brighton,20,1999,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
332,Wesley Moraes,br BRA,"MF,FW",Aston Villa,23,1996,3,0,18,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0.12,0.12,0.12,Matches
333,Wes Morgan,jm JAM,DF,Leicester City,36,1984,3,0,18,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
334,Mason Mount,eng ENG,"MF,FW",Chelsea,21,1999,36,32,"2,890",32.1,6,5,5,1,1,2,0,0.19,0.16,0.34,0.16,0.31,6.8,6,7.8,13.8,0.21,0.24,0.45,0.19,0.43,Matches
335,Lucas Moura,br BRA,"FW,MF",Tottenham,27,1992,30,14,"1,411",15.7,3,4,3,0,0,1,0,0.19,0.26,0.45,0.19,0.45,2.2,2.2,2.3,4.5,0.14,0.14,0.29,0.14,0.29,Matches
336,Lys Mousset,fr FRA,"FW,MF",Sheffield Utd,24,1996,11,2,296,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.7,0.3,1.1,0.22,0.1,0.32,0.22,0.32,Matches
337,João Moutinho,pt POR,MF,Wolves,33,1986,33,28,"2,528",28.1,1,1,1,0,0,5,1,0.04,0.04,0.07,0.04,0.07,0.7,0.7,2.6,3.3,0.02,0.09,0.12,0.02,0.12,Matches
338,Joel Mumbongo,se SWE,FW,Burnley,21,1999,4,0,40,0.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
339,Jacob Murphy,eng ENG,"DF,MF",Newcastle Utd,25,1995,26,17,"1,626",18.1,2,3,2,0,0,3,0,0.11,0.17,0.28,0.11,0.28,1.2,1.2,2.4,3.6,0.07,0.13,0.2,0.07,0.2,Matches
340,Shkodran Mustafi,de GER,DF,Arsenal,28,1992,3,0,47,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
341,Marvelous Nakamba,zw ZIM,MF,Aston Villa,26,1994,13,9,749,8.3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0.1,0,0,0.01,0,0.01,Matches
342,Iliman Ndiaye,fr FRA,MF,Sheffield Utd,21,1999,1,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
343,Wilfred Ndidi,ng NGA,"MF,DF",Leicester City,23,1996,26,25,"2,176",24.2,1,4,1,0,0,6,0,0.04,0.17,0.21,0.04,0.21,0.8,0.8,1.5,2.2,0.03,0.06,0.09,0.03,0.09,Matches
344,Tanguy Ndombele,fr FRA,MF,Tottenham,23,1996,33,28,"2,091",23.2,3,2,3,0,0,3,0,0.13,0.09,0.22,0.13,0.22,1.4,1.4,2.4,3.8,0.06,0.1,0.16,0.06,0.16,Matches
345,Reiss Nelson,eng ENG,FW,Arsenal,20,1999,2,0,71,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0.06,0.06,0.06,Matches
346,Pedro Neto,pt POR,"FW,MF",Wolves,20,2000,31,30,"2,550",28.3,5,6,5,0,0,4,0,0.18,0.21,0.39,0.18,0.39,4.8,4.8,6.2,11,0.17,0.22,0.39,0.17,0.39,Matches
347,Rúben Neves,pt POR,MF,Wolves,23,1997,36,31,"2,675",29.7,5,1,2,3,3,8,0,0.17,0.03,0.2,0.07,0.1,5.1,2.9,2.1,5,0.17,0.07,0.24,0.1,0.17,Matches
348,Eddie Nketiah,eng ENG,FW,Arsenal,21,1999,17,4,423,4.7,2,1,2,0,0,0,0,0.43,0.21,0.64,0.43,0.64,2.4,2.4,0.8,3.3,0.52,0.18,0.7,0.52,0.7,Matches
349,Niels Nkounkou,fr FRA,"DF,FW",Everton,19,2000,2,1,81,0.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches
350,Dan Nlundulu,eng ENG,FW,Southampton,21,1999,13,0,111,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.08,0.02,0.1,0.08,0.1,Matches
351,Mark Noble,eng ENG,MF,West Ham,33,1987,21,8,712,7.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.2,0.2,0,0.03,0.03,0,0.03,Matches
352,Will Norris,eng ENG,GK,Burnley,26,1993,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.04,0.04,0,0.04,Matches
353,Oliver Norwood,nir NIR,MF,Sheffield Utd,29,1991,32,26,"2,220",24.7,0,0,0,0,0,6,0,0,0,0,0,0,0.5,0.5,1.7,2.1,0.02,0.07,0.09,0.02,0.09,Matches
354,Jack O'Connell,eng ENG,DF,Sheffield Utd,26,1994,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
355,Dara O'Shea,ie IRL,DF,West Brom,21,1999,28,25,"2,102",23.4,0,0,0,0,0,3,0,0,0,0,0,0,0.2,0.2,0.1,0.3,0.01,0.01,0.01,0.01,0.01,Matches
356,Michael Obafemi,ie IRL,FW,Southampton,20,2000,4,0,61,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.16,0.16,0,0.16,Matches
357,Denis Odoi,be BEL,DF,Fulham,32,1988,3,3,270,3,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.03,0.02,0.05,0.03,0.05,Matches
358,Angelo Ogbonna,it ITA,DF,West Ham,32,1988,28,28,"2,492",27.7,3,0,3,0,0,5,0,0.11,0,0.11,0.11,0.11,1.5,1.5,1,2.5,0.05,0.04,0.09,0.05,0.09,Matches
359,Robin Olsen,se SWE,GK,Everton,30,1990,7,7,630,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
360,Josh Onomah,eng ENG,MF,Fulham,23,1997,11,4,374,4.2,0,0,0,0,0,1,0,0,0,0,0,0,0.6,0.6,0.1,0.7,0.15,0.01,0.17,0.15,0.17,Matches
361,Divock Origi,be BEL,FW,Liverpool,25,1995,9,2,186,2.1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.2,1.2,0.47,0.11,0.58,0.47,0.58,Matches
362,Ben Osborn,eng ENG,"MF,DF",Sheffield Utd,25,1994,24,17,"1,604",17.8,1,0,1,0,0,1,0,0.06,0,0.06,0.06,0.06,1.2,1.2,2.1,3.3,0.07,0.12,0.19,0.07,0.19,Matches
363,Owen Otasowie,us USA,"MF,FW",Wolves,19,2001,6,2,187,2.1,0,1,0,0,0,1,0,0,0.48,0.48,0,0.48,0.6,0.6,0.1,0.7,0.27,0.07,0.34,0.27,0.34,Matches
364,Alex Oxlade-Chamberlain,eng ENG,"FW,MF",Liverpool,26,1993,13,2,253,2.8,1,1,1,0,0,0,0,0.36,0.36,0.71,0.36,0.71,0.4,0.4,0.2,0.6,0.13,0.08,0.21,0.13,0.21,Matches
365,Emerson Palmieri,it ITA,DF,Chelsea,25,1994,2,0,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
366,Thomas Partey,gh GHA,MF,Arsenal,27,1993,24,18,"1,534",17,0,2,0,0,0,5,0,0,0.12,0.12,0,0.12,1.3,1.3,1,2.3,0.08,0.06,0.14,0.08,0.14,Matches
367,Rui Patrício,pt POR,GK,Wolves,32,1988,37,37,"3,329",37,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
368,Bailey Peacock-Farrell,nir NIR,GK,Burnley,23,1996,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
369,Lee Peltier,eng ENG,DF,West Brom,33,1986,4,3,229,2.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
370,Nicolas Pépé,ci CIV,FW,Arsenal,25,1995,29,16,"1,616",18,10,1,9,1,1,1,1,0.56,0.06,0.61,0.5,0.56,7,6.2,0.9,7.1,0.39,0.05,0.44,0.35,0.39,Matches
371,Matheus Pereira,br BRA,"MF,FW",West Brom,24,1996,33,30,"2,577",28.6,11,6,7,4,4,2,1,0.38,0.21,0.59,0.24,0.45,7.2,4.1,5.4,9.5,0.25,0.19,0.44,0.14,0.33,Matches
372,Ricardo Pereira,pt POR,DF,Leicester City,26,1993,15,10,959,10.7,0,1,0,0,0,3,0,0,0.09,0.09,0,0.09,0.4,0.4,0.5,0.9,0.04,0.05,0.09,0.04,0.09,Matches
373,Ayoze Pérez,es ESP,"MF,FW",Leicester City,27,1993,25,15,"1,331",14.8,2,1,2,0,0,2,0,0.14,0.07,0.2,0.14,0.2,3.2,3.2,1.3,4.5,0.22,0.08,0.3,0.22,0.3,Matches
374,Kalvin Phillips,eng ENG,MF,Leeds United,24,1995,29,28,"2,428",27,1,2,1,0,0,10,0,0.04,0.07,0.11,0.04,0.11,0.4,0.4,3.8,4.1,0.01,0.14,0.15,0.01,0.15,Matches
375,Matt Phillips,sco SCO,"MF,FW",West Brom,29,1991,33,20,"1,828",20.3,2,1,2,0,0,1,0,0.1,0.05,0.15,0.1,0.15,2.5,2.5,3.1,5.6,0.12,0.15,0.27,0.12,0.27,Matches
