Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
47,Harvey Barnes,eng ENG,"FW,MF",Leicester City,22,1997,25,22,"1,945",21.6,9,4,9,0,0,0,0,0.42,0.19,0.6,0.42,0.6,6.2,6.2,1.5,7.7,0.29,0.07,0.35,0.29,0.35,Matches
48,Kyle Bartley,eng ENG,DF,West Brom,29,1991,30,28,"2,584",28.7,3,1,3,0,0,4,0,0.1,0.03,0.14,0.1,0.14,2.1,2.1,0.2,2.4,0.07,0.01,0.08,0.07,0.08,Matches
49,Chris Basham,eng ENG,"DF,MF",Sheffield Utd,32,1988,31,31,"2,576",28.6,0,1,0,0,0,5,0,0,0.03,0.03,0,0.03,0.8,0.8,0.8,1.6,0.03,0.03,0.05,0.03,0.05,Matches
50,Michy Batshuayi,be BEL,FW,Crystal Palace,26,1993,18,7,728,8.1,2,1,2,0,0,0,0,0.25,0.12,0.37,0.25,0.37,1.4,1.4,1.4,2.8,0.17,0.18,0.35,0.17,0.35,Matches
51,Jan Bednarek,pl POL,DF,Southampton,24,1996,36,36,"3,100",34.4,1,1,1,0,0,5,1,0.03,0.03,0.06,0.03,0.06,1,1,0.3,1.3,0.03,0.01,0.04,0.03,0.04,Matches
52,Donny van de Beek,nl NED,"MF,FW",Manchester Utd,23,1997,19,4,524,5.8,1,1,1,0,0,1,0,0.17,0.17,0.34,0.17,0.34,0.3,0.3,1,1.3,0.05,0.17,0.22,0.05,0.22,Matches
53,Héctor Bellerín,es ESP,DF,Arsenal,25,1995,25,24,"2,089",23.2,1,2,1,0,0,8,0,0.04,0.09,0.13,0.04,0.13,0.8,0.8,2.4,3.2,0.04,0.1,0.14,0.04,0.14,Matches
54,Saïd Benrahma,dz ALG,"FW,MF",West Ham,24,1995,30,14,"1,391",15.5,1,6,1,0,0,0,0,0.06,0.39,0.45,0.06,0.45,2.3,2.3,4.4,6.6,0.15,0.28,0.43,0.15,0.43,Matches
55,Josh Benson,eng ENG,MF,Burnley,20,1999,6,2,264,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0.06,0,0.06,0.06,0.06,Matches
56,Christian Benteke,be BEL,FW,Crystal Palace,29,1990,30,21,"1,816",20.2,10,1,10,0,0,3,1,0.5,0.05,0.55,0.5,0.55,8.1,8.1,1,9.1,0.4,0.05,0.45,0.4,0.45,Matches
57,Gaetano Berardi,ch SUI,DF,Leeds United,31,1988,2,1,113,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.03,0.03,0.03,Matches
58,Jóhann Berg Gu_mundsson,is ISL,MF,Burnley,29,1990,22,16,"1,363",15.1,2,0,2,0,0,2,0,0.13,0,0.13,0.13,0.13,1.7,1.7,0.5,2.2,0.11,0.03,0.14,0.11,0.14,Matches
59,Sander Berge,no NOR,MF,Sheffield Utd,22,1998,15,13,"1,120",12.4,1,1,0,1,1,4,0,0.08,0.08,0.16,0,0.08,1.2,0.5,1.2,1.7,0.1,0.1,0.2,0.04,0.14,Matches
60,Steven Bergwijn,nl NED,"FW,MF",Tottenham,22,1997,21,13,"1,208",13.4,1,3,1,0,0,3,0,0.07,0.22,0.3,0.07,0.3,2.5,2.5,1.3,3.7,0.18,0.09,0.28,0.18,0.28,Matches
61,Bernard,br BRA,"MF,FW",Everton,27,1992,12,3,455,5.1,1,0,1,0,0,2,0,0.2,0,0.2,0.2,0.2,0.2,0.2,0.7,0.9,0.04,0.13,0.18,0.04,0.18,Matches
62,Bernardo,br BRA,"DF,MF",Brighton,25,1995,3,2,206,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,0.13,0.09,0.22,0.13,0.22,Matches
63,Ryan Bertrand,eng ENG,DF,Southampton,30,1989,29,29,"2,598",28.9,0,1,0,0,0,5,0,0,0.03,0.03,0,0.03,0.6,0.6,1.2,1.8,0.02,0.04,0.06,0.02,0.06,Matches
